Site,Lat,Long,Dates,Year,War,State,Belligerent1,Belligerent2,Website,,,
"Mine Run (Payne's Farm, or New Hope Church VA, or the Mine Run campaign)",38.3379,-77.8187,"November 27, 1863 – December 2, 1863",1863,Civil War (1861-1865),VA,USA,CSA,https://en.wikipedia.org/wiki/Battle_of_Mine_Run,,,
"Charleston, West Virginia (1862)",38.347222,-81.633333,"September 13, 1862",1862,Civil War (1861-1865),WV,USA,CSA,https://en.wikipedia.org/wiki/Battle_of_Charleston_(1862),,,
Pearl Harbor,21.36397,-157.958963,"December 7, 1941",1941,World War II (1939-1945),HI,USA,Japan,https://en.wikipedia.org/wiki/Attack_on_Pearl_Harbor,https://www.nps.gov/valr/index.htm,https://www.history.com/topics/world-war-ii/pearl-harbor,https://www.pearlharbortours.com/blog/facts-about-pearl-harbor/
Wake Island,19.276756,166.650071,"December 8-23, 1941",1941,World War II (1939-1945),HI,USA,Japan,https://en.wikipedia.org/wiki/Battle_of_Wake_Island,https://warfarehistorynetwork.com/wp-content/uploads/An-Unsteady-Victory-at-the-Battle-of-Wake-Island-3.jpg,,
Midway Island,28.206407,-177.373278,"June 4–7, 1942",1942,World War II (1939-1945),HI,USA,Japan,https://en.wikipedia.org/wiki/Battle_of_Midway,https://www.usni.org/magazines/naval-history-magazine/2007/june/putting-midway-miracle-perspective,,
Attu Island,52.871221,172.891763,"May 11–30, 1943",1943,World War II (1939-1945),AK,USA,Japan,https://en.wikipedia.org/wiki/Battle_of_Attu,https://commons.wikimedia.org/wiki/File:Attu_battle_map_May_1943.jpg,,
Kiska Island,51.959492,177.489367,"June 6, 1942 - July 28, 1943",1943,World War II (1939-1945),AK,USA,Japan,https://en.wikipedia.org/wiki/Japanese_occupation_of_Kiska,https://www.nps.gov/articles/the-invasion-of-kiska.htm,,
Dutch Harbor,53.915988,-166.51496,"June 3–4, 1942",1942,World War II (1939-1945),AK,USA,Japan,https://en.wikipedia.org/wiki/Battle_of_Dutch_Harbor,https://www.nps.gov/aleu/learn/historyculture/removal-maps.htm,https://commons.wikimedia.org/wiki/Category:Battle_of_Dutch_Harbor#/media/File:DutchHarborRaid_map.svg,
Spokane Plains,47.677867,-117.475915,"September 5, 1858",1858,Indian Wars (1609-1924),WA,USA,Native American tribes,https://en.wikipedia.org/wiki/Battle_of_Spokane_Plains,https://upload.wikimedia.org/wikipedia/commons/0/03/Battle_of_Four_Lakes_and_Battle_of_Spokane_Plains.jpg,http://historynet.com/wp-content/uploads/image/2011/MHQ/Extra%20Stuff/Wright-Incidents-LG.jpg,
Four Lakes,47.550664,-117.609874,"September 1, 1858",1858,Indian Wars (1609-1924),WA,USA,Native American tribes,https://en.wikipedia.org/wiki/Battle_of_Four_Lakes,,,
Seattle,47.601694,-122.332015,"January 26, 1856",1856,Indian Wars (1609-1924),WA,USA,Native American tribes,https://en.wikipedia.org/wiki/Battle_of_Seattle_(1856),,,
